,code,name,i_median,i_from,i_average,i_mean,i_to,code_status,subcategory
BRewb,BRewb,SupercarsofLondon,0.259993,0,0.259993,0.536758,12.565998,live,eCommerce
BRewn,BRewn,Supercell,0.038147,0,0.038147,0.079802,1.276596,live,Games
BRewd,BRewd,Supercheap Auto,0,0,0,0.011023,0.662377,live,Auto services
BRewr,BRewr,Superfly,0,0,0,0.021231,0.6954100000000001,live,Prof services
BRewf,BRewf,Superga,0.060363999999999994,0,0.060363999999999994,0.14422000000000001,1.96684,live,Shoes
BRewg,BRewg,Superglamourous,0.32786899999999997,0,0.32786899999999997,0.527813,5.475504,live,eCommerce
BRew8,BRew8,Supergoop,0.045724999999999995,0,0.045724999999999995,0.19656099999999999,4.429006,live,Beauty
BRewe,BRewe,SuperJeweler,0,0,0,0.009639,0.444115,live,Jewelry
BRewj,BRewj,Supermercado Bretas,0,0,0,0.036799,2.00692,live,Supermarkets
BRewk,BRewk,Supermercados Mundial,0,0,0,0.026831999999999998,1.109037,live,Supermarkets
BRewm,BRewm,SuperValu,0,0,0,0.033245,1.129453,live,Stores & shops
BRewc,BRewc,Supreme,2.490272,0,2.490272,4.108649,43.608722,live,Clothing
BRewp,BRewp,SureFire,0.10661000000000001,0,0.10661000000000001,0.432429,20.71494,live,Tools
BRewq,BRewq,Surftech,0,0,0,0.023266,1.122067,live,Software
BRewx,BRewx,Surinam Airways,0,0,0,0.000937,0.079639,live,Airlines
BRewo,BRewo,Surly Bikes,0,0,0,0.11170899999999999,4.023438,live,Sporting Goods
BRewt,BRewt,SurveyMonkey,0,0,0,0.016841,0.3125,live,Online services
BRew1,BRew1,SUVA Beauty,0.18293199999999998,0,0.18293199999999998,0.471502,14.754097999999999,live,Beauty
BRewu,BRewu,Svedka,0,0,0,0.015983999999999998,0.337458,live,Alcohol
BReww,BReww,Svyaznoy,0,0,0,0.000507,0.054437,live,Stores & shops
BRews,BRews,SWEAT,0.072072,0,0.072072,0.249823,3.636853,live,Healthcare
BRewz,BRewz,Swedbank,0,0,0,0.001349,0.09311000000000001,live,Banks
BRewa,BRewa,Sweet Frog,0,0,0,0.025745999999999998,0.444115,live,Casual dining
BRew3,BRew3,Sweetgreen,0.066007,0,0.066007,0.286757,6.862069,live,Food
BRew4,BRew4,Swensen's,0,0,0,0.0033529999999999996,0.22883299999999998,live,Fast food
BRew5,BRew5,Swift Transportation,0,0,0,0.0036569999999999997,0.11467899999999999,live,Logistics
BRewh,BRewh,Swiftcover,0,0,0,0.001186,0.105597,live,Insurance
BRew7,BRew7,Swish Beverages,0.044326,0,0.044326,0.15767799999999998,2.66535,live,Alcohol
BRew6,BRew6,Swiss Life,0,0,0,0.001281,0.077042,live,Insurance
BRew9,BRew9,Swiss National Bank,0,0,0,0.00013000000000000002,0.029878,live,Banks
BReiy,BReiy,Swisse,0,0,0,0.034777999999999996,2.349148,live,Healthcare
BReib,BReib,Swissquote,0,0,0,0.0025700000000000002,0.12853499999999998,live,Banks
BRein,BRein,Synchrony Financial,0,0,0,0.008929,0.419948,live,Financial services
BReid,BReid,Syntel,0,0,0,0.00031299999999999996,0.046318,live,Prof services
BReir,BReir,Sysco,0,0,0,0.009707,0.38265299999999997,live,Household prod
BReif,BReif,Sysomos,0,0,0,0.0009119999999999999,0.07610399999999999,live,Social media
BReig,BReig,Systeme U,0,0,0,0.00037099999999999996,0.053333,live,Supermarkets
BRei8,BRei8,T. J. Hughes,0,0,0,0.012834,1.073508,live,Stores & shops
BReie,BReie,T. M. Lewin,0,0,0,0.057366999999999994,1.181102,live,Clothing
BReij,BReij,T3 Micro,0.038565999999999996,0,0.038565999999999996,0.18587499999999998,4.063275,live,Beauty
BReik,BReik,Table Table,0,0,0,0.0011309999999999998,0.092336,live,Casual dining
BReim,BReim,Tableau,0,0,0,0.032390999999999996,0.5828479999999999,live,Software
BReip,BReip,Taittinger,0.017025,0,0.017025,0.091461,2.3571429999999998,live,Alcohol
BReiq,BReiq,Takashimaya,0,0,0,0.007135,0.32520299999999996,live,Stores & shops
BReix,BReix,Takis,0.037721,0,0.037721,0.168394,2.682403,live,Snacks
BReio,BReio,Takko,0,0,0,0.008135,0.40386299999999997,live,Stores & shops
BRei1,BRei1,Talend,0,0,0,0.003111,0.11422000000000002,live,Software
BReiu,BReiu,Talenti,0.060564999999999994,0,0.060564999999999994,0.17879699999999998,2.007084,live,Food
BReiw,BReiw,Talisker distillery,0,0,0,0.005683,0.234375,live,Alcohol
BReii,BReii,TalkTalk,0,0,0,0.002806,0.174978,live,Telecom
BReis,BReis,Tallink,0,0,0,0.0026609999999999997,0.127226,live,Logistics
BReiz,BReiz,Tally Weijl,0.11392000000000001,0,0.11392000000000001,0.32279,12.319588,live,Bags
BReia,BReia,Talwalkars,0,0,0,0.000609,0.068399,live,Fitness
BRei3,BRei3,Tamiya Corporation,0,0,0,0.014837,0.398804,live,Toys
BRei4,BRei4,Tamrac,0,0,0,0.012473,0.43415299999999996,live,Bags
BRei5,BRei5,Tamron,0,0,0,0.004759,0.194932,live,Cons electronics
BReih,BReih,Tanduay,0,0,0,0.004288999999999999,0.22744499999999998,live,Alcohol
BRei6,BRei6,Tanger Outlets,0,0,0,0.09675299999999999,2.239566,live,Stores & shops
BRei9,BRei9,Tangle Teezer,0.031391999999999996,0,0.031391999999999996,0.12028799999999999,3.106682,live,Beauty
BResy,BResy,Tanqueray,0,0,0,0.017025,0.5148389999999999,live,Alcohol
BResb,BResb,TAP Air Portugal,0.085647,0,0.085647,0.24490599999999998,7.018927,live,Airlines
BResn,BResn,Tapout,0.07249000000000001,0,0.07249000000000001,0.158781,2.455209,live,Sporting Goods
